Index,CorrectRate,Score,ln,Unnamed: 4
2740,0.5,0.0,1.632873138,1.643191539
6147,0.5,0.0,1.622660568,1.643191539
9195,0.5,0.0,1.643191539,1.612551681
11755,0.5,0.0,1.622660568,1.643191539
14683,0.5,0.0,1.653617988,1.653617988
17964,0.5,0.0,1.622660568,1.622660568
21840,0.5,0.0,1.643191539,1.643191539
24371,0.5,0.0,1.632873138,1.612551681
27420,0.5,0.0,1.612551681,1.622660568
30184,0.5,0.0,1.653617988,1.612551681
32813,0.5,0.0,1.622660568,1.653617988
36178,0.5,0.0,1.612551681,1.622660568
38822,0.5,0.0,1.632873138,1.632873138
41187,0.5,0.0,1.622660568,1.612551681
44768,0.5,0.0,1.643191539,1.643191539
47550,0.5,0.0,1.653617988,1.653617988
126,0.502,0.004,1.636848061,1.657592911
3969,0.502,0.004,1.647166462,1.647166462
6632,0.502,0.004,1.616526604,1.626635491
9251,0.502,0.004,1.626635491,1.647166462
12183,0.502,0.004,1.636848061,1.616526604
15220,0.502,0.004,1.647166462,1.636848061
18223,0.502,0.004,1.636848061,1.616526604
21322,0.502,0.004,1.647166462,1.626635491
24324,0.502,0.004,1.636848061,1.616526604
27897,0.502,0.004,1.626635491,1.657592911
30309,0.502,0.004,1.616526604,1.636848061
33014,0.502,0.004,1.647166462,1.626635491
35893,0.502,0.004,1.657592911,1.626635491
38810,0.502,0.004,1.647166462,1.647166462
41905,0.502,0.004,1.626635491,1.657592911
45424,0.502,0.004,1.657592911,1.636848061
49745,0.502,0.004,1.636848061,1.657592911
2611,0.504,0.008,1.661552029,1.630594609
5490,0.504,0.008,1.640807178,1.630594609
8606,0.504,0.008,1.661552029,1.620485722
11338,0.504,0.008,1.630594609,1.661552029
14204,0.504,0.008,1.620485722,1.661552029
17582,0.504,0.008,1.65112558,1.630594609
20654,0.504,0.008,1.640807178,1.640807178
24446,0.504,0.008,1.630594609,1.661552029
27769,0.504,0.008,1.65112558,1.630594609
30121,0.504,0.008,1.640807178,1.620485722
33136,0.504,0.008,1.661552029,1.640807178
35825,0.504,0.008,1.620485722,1.65112558
38935,0.504,0.008,1.65112558,1.620485722
42561,0.504,0.008,1.620485722,1.65112558
45198,0.504,0.008,1.630594609,1.620485722
47615,0.504,0.008,1.630594609,1.661552029
317,0.506,0.012,1.665495467,1.665495467
3641,0.506,0.012,1.634538047,1.644750616
6838,0.506,0.012,1.634538047,1.634538047
10578,0.506,0.012,1.634538047,1.62442916
14207,0.506,0.012,1.644750616,1.655069018
17145,0.506,0.012,1.62442916,1.634538047
