Index,CorrectRate,Score,ln,
2740,0.5,0,1.632873138,1.643191539
2841,0.5,0,1.643191539,1.653617988
2854,0.5,0,1.643191539,1.653617988
2981,0.5,0,1.653617988,1.653617988
3200,0.5,0,1.632873138,1.643191539
3424,0.5,0,1.643191539,1.643191539
3537,0.5,0,1.612551681,1.622660568
3563,0.5,0,1.653617988,1.612551681
3589,0.5,0,1.612551681,1.612551681
3598,0.5,0,1.653617988,1.643191539
3621,0.5,0,1.622660568,1.622660568
3646,0.5,0,1.653617988,1.643191539
3690,0.5,0,1.653617988,1.653617988
3822,0.5,0,1.643191539,1.643191539
3827,0.5,0,1.612551681,1.653617988
3838,0.5,0,1.612551681,1.653617988
3943,0.5,0,1.632873138,1.612551681
4310,0.5,0,1.632873138,1.622660568
4329,0.5,0,1.622660568,1.632873138
4357,0.5,0,1.632873138,1.622660568
4382,0.5,0,1.632873138,1.653617988
4505,0.5,0,1.632873138,1.653617988
4513,0.5,0,1.622660568,1.612551681
4555,0.5,0,1.632873138,1.612551681
4630,0.5,0,1.643191539,1.643191539
4631,0.5,0,1.643191539,1.622660568
4691,0.5,0,1.622660568,1.632873138
4717,0.5,0,1.622660568,1.653617988
4735,0.5,0,1.632873138,1.653617988
4746,0.5,0,1.612551681,1.643191539
4782,0.5,0,1.643191539,1.632873138
4892,0.5,0,1.653617988,1.653617988
4905,0.5,0,1.622660568,1.612551681
4968,0.5,0,1.653617988,1.612551681
5046,0.5,0,1.622660568,1.612551681
5050,0.5,0,1.612551681,1.612551681
5380,0.5,0,1.643191539,1.622660568
5420,0.5,0,1.653617988,1.612551681
5527,0.5,0,1.653617988,1.643191539
5577,0.5,0,1.653617988,1.653617988
5593,0.5,0,1.653617988,1.643191539
5637,0.5,0,1.643191539,1.632873138
5666,0.5,0,1.612551681,1.612551681
5737,0.5,0,1.653617988,1.632873138
5832,0.5,0,1.632873138,1.612551681
5846,0.5,0,1.632873138,1.632873138
5919,0.5,0,1.653617988,1.622660568
6056,0.5,0,1.622660568,1.612551681
6085,0.5,0,1.622660568,1.643191539
6128,0.5,0,1.612551681,1.622660568
6147,0.5,0,1.622660568,1.643191539
6341,0.5,0,1.643191539,1.612551681
6353,0.5,0,1.632873138,1.632873138
6565,0.5,0,1.612551681,1.643191539
6712,0.5,0,1.653617988,1.622660568
6742,0.5,0,1.622660568,1.612551681
6802,0.5,0,1.632873138,1.643191539
